School Year,District Code,District Name,County,School Code,School Name,TYPE,INDEX,TOTAL,Native,Asian,Black,PI,White,2+,Hispanic,NativePerc,AsianPerc,BlackPerc,PIPerc,WhitePerc,2+Perc,HispanicPerc
2016,31103,Monroe School District,Snohomish,1570,Monroe Special Ed Preschool,Other,48.0,40,1,0,1,0,27,1,10,2.5%,0.0%,2.5%,0.0%,67.5%,2.5%,25.0%
2016,31201,Snohomish School District,Snohomish,1730,Snohomish Center,Other,29.7,42,1,3,0,0,35,2,1,2.4%,7.1%,0.0%,0.0%,83.3%,4.8%,2.4%
2016,31063,Index School District,Snohomish,2948,Index Elementary School,Elementary,0.0,44,0,0,0,0,44,0,0,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%
2016,17402,Vashon Island School District,King,1822,Family Link,Other,42.4,46,0,5,0,0,34,6,1,0.0%,10.9%,0.0%,0.0%,73.9%,13.0%,2.2%
2016,17414,Lake Washington School District,King,1804,Futures School,High,60.8,51,1,4,1,0,29,4,12,2.0%,7.8%,2.0%,0.0%,56.9%,7.8%,23.5%
2016,17001,Seattle Public Schools,King,5405,Interagency Open Doors,Other,78.8,56,1,10,16,0,8,7,14,1.8%,17.9%,28.6%,0.0%,14.3%,12.5%,25.0%
2016,17410,Snoqualmie Valley School District,King,5181,Snoqualmie Access,Other,41.0,58,1,2,2,0,44,5,4,1.7%,3.4%,3.4%,0.0%,75.9%,8.6%,6.9%
2016,17210,Federal Way School District,King,1951,Support School,Other,69.4,60,0,3,8,0,14,28,7,0.0%,5.0%,13.3%,0.0%,23.3%,46.7%,11.7%
2016,31332,Granite Falls School District,Snohomish,5349,Granite Falls Open Doors,Other,45.7,62,1,0,0,0,44,7,10,1.6%,0.0%,0.0%,0.0%,71.0%,11.3%,16.1%
2016,17001,Seattle Public Schools,King,3496,Interagency Detention School,Other,67.7,64,6,4,32,0,14,1,7,9.4%,6.3%,50.0%,0.0%,21.9%,1.6%,10.9%
2016,31006,Mukilteo School District,Snohomish,1848,Special Services (Mukilteo),Other,62.1,65,1,8,3,0,37,4,12,1.5%,12.3%,4.6%,0.0%,56.9%,6.2%,18.5%
2016,17001,Seattle Public Schools,King,1808,Experimental Education Unit,Other,64.3,66,0,7,7,0,36,12,4,0.0%,10.6%,10.6%,0.0%,54.5%,18.2%,6.1%
2016,17414,Lake Washington School District,King,3855,Emerson High School,High,39.9,69,1,1,0,0,52,3,12,1.4%,1.4%,0.0%,0.0%,75.4%,4.3%,17.4%
2016,17414,Lake Washington School District,King,3856,Community School,Elementary,42.1,71,0,6,1,0,53,8,3,0.0%,8.5%,1.4%,0.0%,74.6%,11.3%,4.2%
2016,17414,Lake Washington School District,King,1658,Discovery School,Elementary,54.7,71,0,17,0,0,44,7,3,0.0%,23.9%,0.0%,0.0%,62.0%,9.9%,4.2%
2016,17407,Riverview School District,King,3006,Eagle Rock Multiage School,Elementary,10.8,71,0,1,0,0,67,0,3,0.0%,1.4%,0.0%,0.0%,94.4%,0.0%,4.2%
2016,17414,Lake Washington School District,King,1687,Explorer Community School,Elementary,54.1,73,0,22,0,0,44,4,3,0.0%,30.1%,0.0%,0.0%,60.3%,5.5%,4.1%
2016,31025,Marysville School District,Snohomish,1657,Heritage School,High,57.4,77,46,0,0,0,6,18,7,59.7%,0.0%,0.0%,0.0%,7.8%,23.4%,9.1%
2016,17410,Snoqualmie Valley School District,King,5296,Snoqualmie Parent Partnership Program,Other,20.8,79,0,0,1,0,70,2,6,0.0%,0.0%,1.3%,0.0%,88.6%,2.5%,7.6%
2016,31015,Edmonds School District,Snohomish,1519,Edmonds eLearning Academy,Other,44.3,81,0,4,0,1,59,11,6,0.0%,4.9%,0.0%,1.2%,72.8%,13.6%,7.4%
2016,31311,Sultan School District,Snohomish,5152,Columbia Virtual Academy - Sultan,Other,51.2,82,0,0,3,0,54,17,8,0.0%,0.0%,3.7%,0.0%,65.9%,20.7%,9.8%
2016,17001,Seattle Public Schools,King,5406,Bridges Transition,Other,71.8,84,1,25,15,0,33,4,6,1.2%,29.8%,17.9%,0.0%,39.3%,4.8%,7.1%
2016,31103,Monroe School District,Snohomish,1806,Leaders In Learning,Other,53.2,84,1,1,1,0,53,7,21,1.2%,1.2%,1.2%,0.0%,63.1%,8.3%,25.0%
2016,17401,Highline School District,King,5172,Puget Sound High School,High,74.8,84,1,6,12,0,24,11,30,1.2%,7.1%,14.3%,0.0%,28.6%,13.1%,35.7%
2016,31004,Lake Stevens School District,Snohomish,1753,Homelink,Other,18.8,88,0,0,0,0,79,3,6,0.0%,0.0%,0.0%,0.0%,89.8%,3.4%,6.8%
2016,17414,Lake Washington School District,King,1975,Stella Schola,Middle,58.1,89,0,40,0,0,41,6,2,0.0%,44.9%,0.0%,0.0%,46.1%,6.7%,2.2%
2016,17414,Lake Washington School District,King,4167,Northstar Middle School,Middle,59.3,90,0,30,0,0,48,9,3,0.0%,33.3%,0.0%,0.0%,53.3%,10.0%,3.3%
2016,17414,Lake Washington School District,King,1688,Emerson K-12,Elementary Middle High,36.9,92,0,3,0,0,72,9,8,0.0%,3.3%,0.0%,0.0%,78.3%,9.8%,8.7%
2016,31015,Edmonds School District,Snohomish,1558,Unassigned Special Education,Other,46.3,92,1,6,2,0,66,8,9,1.1%,6.5%,2.2%,0.0%,71.7%,8.7%,9.8%
2016,17001,Seattle Public Schools,King,5046,Private School Services,Other,60.3,96,0,6,13,0,57,9,11,0.0%,6.3%,13.5%,0.0%,59.4%,9.4%,11.5%
2016,17414,Lake Washington School District,King,5057,Renaissance School,Middle,50.2,96,0,16,0,0,65,8,7,0.0%,16.7%,0.0%,0.0%,67.7%,8.3%,7.3%
2016,17001,Seattle Public Schools,King,3778,South Lake High School,High,66.7,96,1,11,47,1,3,7,26,1.0%,11.5%,49.0%,1.0%,3.1%,7.3%,27.1%
2016,17410,Snoqualmie Valley School District,King,1502,Two Rivers School,Middle High,24.5,103,3,0,0,0,89,2,9,2.9%,0.0%,0.0%,0.0%,86.4%,1.9%,8.7%
2016,17412,Shoreline School District,King,1667,Handicapped Contractual Services,Other,60.0,105,3,8,5,0,63,13,13,2.9%,7.6%,4.8%,0.0%,60.0%,12.4%,12.4%
2016,17411,Issaquah School District,King,1624,Issaquah Special Services,Other,58.3,105,0,20,1,0,63,12,9,0.0%,19.0%,1.0%,0.0%,60.0%,11.4%,8.6%
2016,31025,Marysville School District,Snohomish,1744,School Home Partnership Program,Other,52.9,106,8,1,2,0,70,15,10,7.5%,0.9%,1.9%,0.0%,66.0%,14.2%,9.4%
2016,17407,Riverview School District,King,1854,PARADE,Elementary Middle High,14.1,107,0,1,0,0,99,5,2,0.0%,0.9%,0.0%,0.0%,92.5%,4.7%,1.9%
2016,17210,Federal Way School District,King,5163,Career Academy at Truman High School,High,74.2,109,2,7,13,1,41,14,31,1.8%,6.4%,11.9%,0.9%,37.6%,12.8%,28.4%
2016,31025,Marysville School District,Snohomish,1910,Marysville SD Special,Other,66.2,112,12,4,1,0,58,15,22,10.7%,3.6%,0.9%,0.0%,51.8%,13.4%,19.6%
2016,17403,Renton School District,King,2931,Hillcrest Special Services Center,Other,73.4,113,2,17,9,0,46,11,28,1.8%,15.0%,8.0%,0.0%,40.7%,9.7%,24.8%
2016,17405,Bellevue School District,King,5281,Central Educational Services,Other,71.0,116,0,27,4,0,50,13,22,0.0%,23.3%,3.4%,0.0%,43.1%,11.2%,19.0%
2016,17417,Northshore School District,Snohomish,2493,C O Sorenson,Other,63.3,117,0,13,3,0,64,13,24,0.0%,11.1%,2.6%,0.0%,54.7%,11.1%,20.5%
2016,31016,Arlington School District,Snohomish,4287,Weston High School,High,36.8,117,1,1,2,0,91,3,19,0.9%,0.9%,1.7%,0.0%,77.8%,2.6%,16.2%
2016,17001,Seattle Public Schools,King,1547,Middle College High School,High,72.6,121,3,15,23,1,54,9,16,2.5%,12.4%,19.0%,0.8%,44.6%,7.4%,13.2%
2016,31201,Snohomish School District,Snohomish,1904,Parent Partnerhip,Other,19.9,121,0,0,2,0,108,6,5,0.0%,0.0%,1.7%,0.0%,89.3%,5.0%,4.1%
2016,17210,Federal Way School District,King,5279,Birth to Three Development Center,Other,74.2,126,0,12,10,0,46,24,34,0.0%,9.5%,7.9%,0.0%,36.5%,19.0%,27.0%
2016,17411,Issaquah School District,King,3569,Echo Glen School,Other,65.9,127,5,1,32,0,64,8,17,3.9%,0.8%,25.2%,0.0%,50.4%,6.3%,13.4%
2016,17417,Northshore School District,Snohomish,3811,Secondary Academy for Success,Other,46.9,127,3,3,2,0,90,11,18,2.4%,2.4%,1.6%,0.0%,70.9%,8.7%,14.2%
2016,17403,Renton School District,King,1784,Home Program,Other,38.9,128,1,6,10,0,99,5,7,0.8%,4.7%,7.8%,0.0%,77.3%,3.9%,5.5%
2016,31002,Everett School District,Snohomish,1907,Port Gardner,Other,28.7,130,0,2,0,1,109,10,8,0.0%,1.5%,0.0%,0.8%,83.8%,7.7%,6.2%
2016,17401,Highline School District,King,1972,New Start,Other,67.8,131,0,3,15,1,29,19,64,0.0%,2.3%,11.5%,0.8%,22.1%,14.5%,48.9%
2016,17408,Auburn School District,King,1915,Special Ed School (Auburn),Other,68.6,131,4,5,7,0,59,17,39,3.1%,3.8%,5.3%,0.0%,45.0%,13.0%,29.8%
2016,17001,Seattle Public Schools,King,3874,Licton Springs K-8,Elementary Middle,75.1,133,10,8,11,0,51,34,19,7.5%,6.0%,8.3%,0.0%,38.3%,25.6%,14.3%
2016,31330,Darrington School District,Snohomish,3188,Darrington Sr High School,High,27.1,134,6,2,2,0,114,5,5,4.5%,1.5%,1.5%,0.0%,85.1%,3.7%,3.7%
2016,17401,Highline School District,King,1539,CHOICE Academy,Middle High,63.0,136,0,9,9,0,74,11,33,0.0%,6.6%,6.6%,0.0%,54.4%,8.1%,24.3%
2016,31401,Stanwood-Camano School District,Snohomish,1707,Lincoln Hill High School,High,29.3,136,0,0,1,0,113,5,17,0.0%,0.0%,0.7%,0.0%,83.1%,3.7%,12.5%
2016,17412,Shoreline School District,King,1771,Home Education Exchange,Other,32.3,137,1,5,3,0,112,8,8,0.7%,3.6%,2.2%,0.0%,81.8%,5.8%,5.8%
2016,31016,Arlington School District,Snohomish,1714,Stillaguamish School,Other,26.4,137,0,1,4,0,117,9,6,0.0%,0.7%,2.9%,0.0%,85.4%,6.6%,4.4%
2016,31015,Edmonds School District,Snohomish,1830,Contracted Schools,Other,69.0,139,0,8,12,0,66,23,30,0.0%,5.8%,8.6%,0.0%,47.5%,16.5%,21.6%
2016,17414,Lake Washington School District,King,1800,Environmental & Adventure School,Middle,42.0,140,0,21,3,0,104,10,2,0.0%,15.0%,2.1%,0.0%,74.3%,7.1%,1.4%
2016,17403,Renton School District,King,5335,Open Door Youth Reengagement (Renton),Other,76.5,140,5,5,43,0,34,18,35,3.6%,3.6%,30.7%,0.0%,24.3%,12.9%,25.0%
2016,17415,Kent School District,King,5150,Birth to Age 2,Other,73.9,145,2,13,18,0,58,18,36,1.4%,9.0%,12.4%,0.0%,40.0%,12.4%,24.8%
2016,31025,Marysville School District,Snohomish,4233,Marysville Mountain View High School,High,55.7,145,11,2,2,0,92,18,20,7.6%,1.4%,1.4%,0.0%,63.4%,12.4%,13.8%
2016,31401,Stanwood-Camano School District,Snohomish,5004,Saratoga School,Other,24.5,149,1,1,3,0,129,7,8,0.7%,0.7%,2.0%,0.0%,86.6%,4.7%,5.4%
2016,31201,Snohomish School District,Snohomish,4265,AIM High School,High,34.2,152,1,4,2,0,122,8,15,0.7%,2.6%,1.3%,0.0%,80.3%,5.3%,9.9%
2016,31002,Everett School District,Snohomish,3903,Special Services (Everett),Other,57.4,153,0,11,8,0,95,18,21,0.0%,7.2%,5.2%,0.0%,62.1%,11.8%,13.7%
2016,31015,Edmonds School District,Snohomish,3185,Early Childhood Center,Other,73.3,155,2,16,21,0,67,21,28,1.3%,10.3%,13.5%,0.0%,43.2%,13.5%,18.1%
2016,17417,Northshore School District,Snohomish,1814,Northshore Networks,Other,39.8,157,1,7,1,0,120,13,15,0.6%,4.5%,0.6%,0.0%,76.4%,8.3%,9.6%
2016,31332,Granite Falls School District,Snohomish,5171,Crossroads High School,High,45.6,160,7,0,3,0,115,13,22,4.4%,0.0%,1.9%,0.0%,71.9%,8.1%,13.8%
2016,17417,Northshore School District,Snohomish,1815,Northshore Special Services,Other,66.7,164,1,32,3,0,83,20,25,0.6%,19.5%,1.8%,0.0%,50.6%,12.2%,15.2%
2016,31025,Marysville School District,Snohomish,1656,10th Street School,Middle,46.7,171,8,5,1,0,122,17,18,4.7%,2.9%,0.6%,0.0%,71.3%,9.9%,10.5%
2016,17001,Seattle Public Schools,King,1751,Cascade Parent Partnership Program,Other,57.8,180,1,12,12,0,108,41,6,0.6%,6.7%,6.7%,0.0%,60.0%,22.8%,3.3%
2016,17401,Highline School District,King,5028,Big Picture School,High,65.6,187,3,6,9,0,87,19,63,1.6%,3.2%,4.8%,0.0%,46.5%,10.2%,33.7%
2016,31006,Mukilteo School District,Snohomish,4247,ACES High School,High,64.8,188,3,5,9,0,83,16,72,1.6%,2.7%,4.8%,0.0%,44.1%,8.5%,38.3%
2016,17001,Seattle Public Schools,King,1596,Seattle World School,High,72.1,189,0,64,61,0,7,13,44,0.0%,33.9%,32.3%,0.0%,3.7%,6.9%,23.3%
2016,17403,Renton School District,King,5313,Meadow Crest Early Childhood Education Center,Other,79.1,190,2,42,28,0,35,29,54,1.1%,22.1%,14.7%,0.0%,18.4%,15.3%,28.4%
2016,17412,Shoreline School District,King,1942,Cascade K-8 Community School,Elementary Middle,56.4,195,1,16,7,1,123,19,28,0.5%,8.2%,3.6%,0.5%,63.1%,9.7%,14.4%
2016,31002,Everett School District,Snohomish,4137,Sequoia High School,High,54.7,212,5,3,12,0,136,20,36,2.4%,1.4%,5.7%,0.0%,64.2%,9.4%,17.0%
2016,17401,Highline School District,King,5119,Valley View Early Childhood Center,Other,74.7,215,2,24,41,0,64,12,72,0.9%,11.2%,19.1%,0.0%,29.8%,5.6%,33.5%
2016,17210,Federal Way School District,King,5348,Open Doors Youth Reengagement (Federal Way),Other,75.1,216,2,13,45,1,64,21,70,0.9%,6.0%,20.8%,0.5%,29.6%,9.7%,32.4%
2016,31103,Monroe School District,Snohomish,1883,Youth Re-Engagement,Other,39.4,226,4,0,8,0,171,3,40,1.8%,0.0%,3.5%,0.0%,75.7%,1.3%,17.7%
2016,17001,Seattle Public Schools,King,3380,Rainier View Elementary School (Seattle),Elementary,74.5,230,4,59,88,0,16,31,32,1.7%,25.7%,38.3%,0.0%,7.0%,13.5%,13.9%
2016,17001,Seattle Public Schools,King,3027,Northgate Elementary School,Elementary,78.1,243,0,25,51,0,52,44,71,0.0%,10.3%,21.0%,0.0%,21.4%,18.1%,29.2%
2016,17408,Auburn School District,King,2702,West Auburn Senior High School,High,70.1,243,5,7,17,1,105,39,69,2.1%,2.9%,7.0%,0.4%,43.2%,16.0%,28.4%
2016,17405,Bellevue School District,King,5308,Jing Mei Elementary School,Elementary,57.9,256,0,150,2,0,38,60,6,0.0%,58.6%,0.8%,0.0%,14.8%,23.4%,2.3%
2016,17001,Seattle Public Schools,King,3028,Sacajawea Elementary School,Elementary,61.0,257,0,24,22,0,151,36,24,0.0%,9.3%,8.6%,0.0%,58.8%,14.0%,9.3%
2016,31015,Edmonds School District,Snohomish,3854,Scriber Lake High School,High,61.3,264,0,10,16,0,149,30,59,0.0%,3.8%,6.1%,0.0%,56.4%,11.4%,22.3%
2016,17001,Seattle Public Schools,King,2322,Montlake Elementary School,Elementary,51.6,265,0,24,14,0,177,43,7,0.0%,9.1%,5.3%,0.0%,66.8%,16.2%,2.6%
2016,17001,Seattle Public Schools,King,1856,The Center School,High,47.8,270,2,12,17,0,191,23,25,0.7%,4.4%,6.3%,0.0%,70.7%,8.5%,9.3%
2016,17210,Federal Way School District,King,1759,Internet Academy,Other,55.5,271,2,16,21,0,174,31,27,0.7%,5.9%,7.7%,0.0%,64.2%,11.4%,10.0%
2016,31401,Stanwood-Camano School District,Snohomish,4551,Utsalady Elementary,Elementary,26.1,271,1,5,5,0,232,12,16,0.4%,1.8%,1.8%,0.0%,85.6%,4.4%,5.9%
2016,17001,Seattle Public Schools,King,5205,Sand Point Elementary,Elementary,75.9,273,1,34,43,0,101,60,34,0.4%,12.5%,15.8%,0.0%,37.0%,22.0%,12.5%
2016,17001,Seattle Public Schools,King,3665,Sanislo Elementary School,Elementary,80.2,273,4,55,62,0,55,41,56,1.5%,20.1%,22.7%,0.0%,20.1%,15.0%,20.5%
2016,17001,Seattle Public Schools,King,2201,McGilvra Elementary School,Elementary,53.9,275,0,24,18,0,179,42,12,0.0%,8.7%,6.5%,0.0%,65.1%,15.3%,4.4%
2016,31015,Edmonds School District,Snohomish,5358,Edmonds Career Access Program,Other,57.2,280,3,12,9,0,172,32,52,1.1%,4.3%,3.2%,0.0%,61.4%,11.4%,18.6%
2016,31025,Marysville School District,Snohomish,1862,Marysville Coop Program,Elementary,53.1,280,19,4,3,1,184,42,27,6.8%,1.4%,1.1%,0.4%,65.7%,15.0%,9.6%
2016,17001,Seattle Public Schools,King,3717,B F Day Elementary School,Elementary,62.4,283,0,22,36,0,162,40,23,0.0%,7.8%,12.7%,0.0%,57.2%,14.1%,8.1%
2016,31025,Marysville School District,Snohomish,1927,Marysville Arts and Technology High School,High,40.5,284,12,4,4,0,216,24,24,4.2%,1.4%,1.4%,0.0%,76.1%,8.5%,8.5%
2016,17001,Seattle Public Schools,King,2976,Olympic Hills Elementary School,Elementary,78.5,284,0,37,67,2,65,36,77,0.0%,13.0%,23.6%,0.7%,22.9%,12.7%,27.1%
2016,31201,Snohomish School District,Snohomish,2446,Central Elementary,Elementary,46.0,286,2,0,1,0,201,27,55,0.7%,0.0%,0.3%,0.0%,70.3%,9.4%,19.2%
2016,17401,Highline School District,King,5103,Technology - Engineering & Communications,High,73.8,289,5,78,25,2,47,20,112,1.7%,27.0%,8.7%,0.7%,16.3%,6.9%,38.8%
2016,31401,Stanwood-Camano School District,Snohomish,4553,Elger Bay Elementary,Elementary,27.6,290,1,0,2,0,245,18,24,0.3%,0.0%,0.7%,0.0%,84.5%,6.2%,8.3%
2016,31330,Darrington School District,Snohomish,3609,Darrington Elementary School,Elementary,35.6,294,9,1,0,0,233,28,23,3.1%,0.3%,0.0%,0.0%,79.3%,9.5%,7.8%
2016,17216,Enumclaw School District,King,3430,Black Diamond Elementary,Elementary,45.7,295,3,0,0,0,208,27,57,1.0%,0.0%,0.0%,0.0%,70.5%,9.2%,19.3%
2016,17401,Highline School District,King,5102,Arts & Academics Academy,High,71.1,296,10,50,28,1,46,22,139,3.4%,16.9%,9.5%,0.3%,15.5%,7.4%,47.0%
2016,17210,Federal Way School District,King,5138,Technology Access Foundation Academy,Other,78.6,298,7,42,48,1,89,36,75,2.3%,14.1%,16.1%,0.3%,29.9%,12.1%,25.2%
2016,17001,Seattle Public Schools,King,2307,Bailey Gatzert Elementary School,Elementary,62.7,299,1,43,167,0,11,22,55,0.3%,14.4%,55.9%,0.0%,3.7%,7.4%,18.4%
2016,17001,Seattle Public Schools,King,2069,Madrona K-8 School,Elementary Middle,69.5,300,1,6,133,0,81,46,33,0.3%,2.0%,44.3%,0.0%,27.0%,15.3%,11.0%
2016,17001,Seattle Public Schools,King,3157,Roxhill Elementary School,Elementary,75.0,300,1,37,82,0,38,33,109,0.3%,12.3%,27.3%,0.0%,12.7%,11.0%,36.3%
2016,17001,Seattle Public Schools,King,3218,North Beach Elementary School,Elementary,44.4,301,0,14,3,0,218,48,18,0.0%,4.7%,1.0%,0.0%,72.4%,15.9%,6.0%
2016,17415,Kent School District,King,5098,Kent Phoenix Academy,High,73.3,302,4,17,49,1,126,41,64,1.3%,5.6%,16.2%,0.3%,41.7%,13.6%,21.2%
2016,17403,Renton School District,King,5282,Secondary Learning Center,Other,76.2,302,2,25,69,0,81,31,94,0.7%,8.3%,22.8%,0.0%,26.8%,10.3%,31.1%
2016,17210,Federal Way School District,King,1789,Federal Way Public Academy,Middle,71.6,303,1,69,19,0,133,42,39,0.3%,22.8%,6.3%,0.0%,43.9%,13.9%,12.9%
2016,17216,Enumclaw School District,King,3739,Southwood Elementary School,Elementary,33.7,306,1,4,5,0,246,13,37,0.3%,1.3%,1.6%,0.0%,80.4%,4.2%,12.1%
2016,17415,Kent School District,King,3676,Cedar Valley Elementary School,Elementary,66.4,309,6,6,23,0,150,37,87,1.9%,1.9%,7.4%,0.0%,48.5%,12.0%,28.2%
2016,17415,Kent School District,King,3014,Kent Mountain View Academy,Elementary Middle High,72.2,311,1,59,25,0,137,41,48,0.3%,19.0%,8.0%,0.0%,44.1%,13.2%,15.4%
2016,17001,Seattle Public Schools,King,2118,Emerson Elementary School (Seattle),Elementary,71.5,312,1,76,135,0,19,32,49,0.3%,24.4%,43.3%,0.0%,6.1%,10.3%,15.7%
2016,17401,Highline School District,King,3032,Southern Heights Elementary,Elementary,69.6,317,5,62,26,2,31,37,154,1.6%,19.6%,8.2%,0.6%,9.8%,11.7%,48.6%
2016,31015,Edmonds School District,Snohomish,1520,Challenge Elementary,Elementary,62.4,318,0,78,12,0,173,41,14,0.0%,24.5%,3.8%,0.0%,54.4%,12.9%,4.4%
2016,31332,Granite Falls School District,Snohomish,4479,Monte Cristo Elementary,Elementary,43.1,318,12,3,2,0,235,34,32,3.8%,0.9%,0.6%,0.0%,73.9%,10.7%,10.1%
2016,31103,Monroe School District,Snohomish,5154,Shoreline-Monroe High School,High,58.9,319,3,10,30,0,193,33,50,0.9%,3.1%,9.4%,0.0%,60.5%,10.3%,15.7%
2016,17216,Enumclaw School District,King,3585,Westwood Elementary School,Elementary,41.9,319,6,2,4,0,236,15,56,1.9%,0.6%,1.3%,0.0%,74.0%,4.7%,17.6%
2016,17001,Seattle Public Schools,King,2321,Dunlap Elementary School,Elementary,70.3,320,1,76,139,0,9,28,67,0.3%,23.8%,43.4%,0.0%,2.8%,8.8%,20.9%
2016,17001,Seattle Public Schools,King,2089,Martin Luther King Jr. Elementary School,Elementary,69.0,322,0,105,130,0,5,21,61,0.0%,32.6%,40.4%,0.0%,1.6%,6.5%,18.9%
2016,31311,Sultan School District,Snohomish,4399,Gold Bar Elementary,Elementary,39.4,323,4,0,2,0,240,2,75,1.2%,0.0%,0.6%,0.0%,74.3%,0.6%,23.2%
2016,17210,Federal Way School District,King,3547,Camelot Elementary School,Elementary,71.1,329,1,39,21,1,150,60,57,0.3%,11.9%,6.4%,0.3%,45.6%,18.2%,17.3%
2016,17001,Seattle Public Schools,King,3714,Lowell Elementary School (Seattle),Elementary,78.2,333,7,53,95,1,93,51,33,2.1%,15.9%,28.5%,0.3%,27.9%,15.3%,9.9%
2016,17001,Seattle Public Schools,King,2080,Stevens Elementary School,Elementary,63.7,336,2,15,67,0,184,39,29,0.6%,4.5%,19.9%,0.0%,54.8%,11.6%,8.6%
2016,17001,Seattle Public Schools,King,2061,Green Lake Elementary School,Elementary,43.7,337,1,26,8,0,248,38,16,0.3%,7.7%,2.4%,0.0%,73.6%,11.3%,4.7%
2016,17417,Northshore School District,Snohomish,4379,East Ridge Elementary,Elementary,29.9,338,0,20,0,0,281,22,15,0.0%,5.9%,0.0%,0.0%,83.1%,6.5%,4.4%
2016,17001,Seattle Public Schools,King,3868,Nova High School,High,49.8,344,5,18,11,0,237,44,29,1.5%,5.2%,3.2%,0.0%,68.9%,12.8%,8.4%
2016,17405,Bellevue School District,King,5240,Bellevue Big Picture School,Other,58.5,345,0,70,16,1,207,33,18,0.0%,20.3%,4.6%,0.3%,60.0%,9.6%,5.2%
2016,31201,Snohomish School District,Snohomish,3005,Emerson Elementary (Snohomish),Elementary,44.9,346,0,3,0,1,244,21,77,0.0%,0.9%,0.0%,0.3%,70.5%,6.1%,22.3%
2016,31015,Edmonds School District,Snohomish,2888,Terrace Park Elementary,Elementary,71.4,346,3,42,19,0,154,55,73,0.9%,12.1%,5.5%,0.0%,44.5%,15.9%,21.1%
2016,31015,Edmonds School District,Snohomish,3606,Edmonds Elementary,Elementary,52.4,350,3,16,16,0,233,50,32,0.9%,4.6%,4.6%,0.0%,66.6%,14.3%,9.1%
2016,17001,Seattle Public Schools,King,3378,Graham Hill Elementary School,Elementary,78.3,352,3,69,111,0,68,56,45,0.9%,19.6%,31.5%,0.0%,19.3%,15.9%,12.8%
2016,17001,Seattle Public Schools,King,2269,Highland Park Elementary School,Elementary,79.6,352,9,71,55,0,52,62,103,2.6%,20.2%,15.6%,0.0%,14.8%,17.6%,29.3%
2016,31002,Everett School District,Snohomish,2751,Jackson Elementary School,Elementary,59.9,353,3,8,18,0,205,44,75,0.8%,2.3%,5.1%,0.0%,58.1%,12.5%,21.2%
2016,17414,Lake Washington School District,King,3490,Thoreau Elementary,Elementary,53.4,353,1,37,4,0,231,46,34,0.3%,10.5%,1.1%,0.0%,65.4%,13.0%,9.6%
